,Freshness(2),Profit Zone(2),Strength(2),Time(1),Curve(1),Trend(2),Total Score,Trade Stastus
SPY,2,2,1,1.0,1.0,2,9.0,Proximal
QQQ,2,2,1,1.0,1.0,1,8.0,Comfirm
TLT,2,2,0,1.0,1.0,0,6.0,No Trade!
GLD,1,2,1,1.0,0.5,2,7.5,Comfirm
IWM,2,1,2,0.5,1.0,2,8.5,Comfirm
EFA,2,2,1,1.0,1.0,1,8.0,Comfirm
HYG,1,2,1,1.0,1.0,1,7.0,Comfirm
XLV,2,2,1,0.0,1.0,1,7.0,Comfirm
